Substance,Source,Specific_Measure,Type_Event,Region,PRUID,Time_Period,Year_Quarter,Aggregator,Disaggregator,Unit,Value
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2018 Q4,,,Number,1172
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2019 Q1,,,Number,1036
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2019 Q2,,,Number,1038
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2019 Q3,,,Number,732
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2019 Q4,,,Number,854
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2020 Q1,,,Number,1087
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2020 Q2,,,Number,1747
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2020 Q3,,,Number,1845
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2020 Q4,,,Number,1804
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2021 Q1,,,Number,1828
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2021 Q2,,,Number,1781
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2021 Q3,,,Number,1747
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2016,,,Crude rate,16.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2016,,,Number,806
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2016,,,Age-adjusted rate,16.5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2017,,,Crude rate,26.2
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2017,,,Number,1292
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2017,,,Age-adjusted rate,26
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2018,,,Crude rate,31.5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2018,,,Number,1579
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2018,,,Age-adjusted rate,31.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2019,,,Crude rate,19.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2019,,,Number,1013
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2019,,,Age-adjusted rate,19.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2020,,,Crude rate,34.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2020,,,Number,1785
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2020,,,Age-adjusted rate,34.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2021 (Jan to Sep),,,Crude rate,41.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2021 (Jan to Sep),,,Number,1615
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2021 (Jan to Sep),,,Age-adjusted rate,41.2
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2016 Q1,,,Number,175
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2016 Q2,,,Number,158
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2016 Q3,,,Number,153
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2016 Q4,,,Number,320
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2017 Q1,,,Number,352
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2017 Q2,,,Number,363
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2017 Q3,,,Number,315
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2017 Q4,,,Number,262
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2018 Q1,,,Number,402
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2018 Q2,,,Number,372
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2018 Q3,,,Number,422
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2018 Q4,,,Number,383
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2019 Q1,,,Number,307
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2019 Q2,,,Number,248
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2019 Q3,,,Number,228
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2019 Q4,,,Number,230
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2020 Q1,,,Number,283
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2020 Q2,,,Number,501
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2020 Q3,,,Number,492
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2020 Q4,,,Number,509
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2021 Q1,,,Number,535
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2021 Q2,,,Number,528
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2021 Q3,,,Number,552
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2016,,,Crude rate,14.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2016,,,Number,602
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2016,,,Age-adjusted rate,13.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2017,,,Crude rate,17.5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2017,,,Number,744
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2017,,,Age-adjusted rate,17
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2018,,,Crude rate,18.7
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2018,,,Number,805
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2018,,,Age-adjusted rate,18.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2019,,,Crude rate,14.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2019,,,Number,625
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2019,,,Age-adjusted rate,14.1
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2020,,,Crude rate,26.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2020,,,Number,1165
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2020,,,Age-adjusted rate,26.2
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2021 (Jan to Sep),,,Crude rate,33
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2021 (Jan to Sep),,,Number,1099
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2021 (Jan to Sep),,,Age-adjusted rate,32.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2016 Q1,,,Number,137
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2016 Q2,,,Number,140
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2016 Q3,,,Number,159
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2016 Q4,,,Number,166
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2017 Q1,,,Number,162
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2017 Q2,,,Number,182
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2017 Q3,,,Number,183
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2017 Q4,,,Number,217
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2018 Q1,,,Number,194
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2018 Q2,,,Number,206
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2018 Q3,,,Number,210
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2018 Q4,,,Number,195
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2019 Q1,,,Number,162
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2019 Q2,,,Number,188
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2019 Q3,,,Number,150
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2019 Q4,,,Number,125
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2020 Q1,,,Number,160
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2020 Q2,,,Number,317
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2020 Q3,,,Number,351
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2020 Q4,,,Number,337
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2021 Q1,,,Number,358
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2021 Q2,,,Number,355
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2021 Q3,,,Number,386
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2016,,,Crude rate,7.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2016,,,Number,83
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2016,,,Age-adjusted rate,7.5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2017,,,Crude rate,7.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2017,,,Number,85
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2017,,,Age-adjusted rate,7.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2018,,,Crude rate,10.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2018,,,Number,126
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2018,,,Age-adjusted rate,11.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2019,,,Crude rate,10
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2019,,,Number,117
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2019,,,Age-adjusted rate,10.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2020,,,Crude rate,22.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2020,,,Number,266
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2020,,,Age-adjusted rate,23.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2021 (Jan to Sep),,,Crude rate,22.1
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2021 (Jan to Sep),,,Number,196
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2021 (Jan to Sep),,,Age-adjusted rate,23.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2016 Q1,,,Number,25
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2016 Q2,,,Number,17
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2016 Q3,,,Number,24
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2016 Q4,,,Number,17
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2017 Q1,,,Number,25
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2017 Q2,,,Number,20
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2017 Q3,,,Number,22
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2017 Q4,,,Number,18
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2018 Q1,,,Number,34
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2018 Q2,,,Number,28
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2018 Q3,,,Number,34
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2018 Q4,,,Number,30
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2019 Q1,,,Number,25
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2019 Q2,,,Number,34
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2019 Q3,,,Number,23
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2019 Q4,,,Number,35
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2020 Q1,,,Number,26
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2020 Q2,,,Number,73
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2020 Q3,,,Number,82
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2020 Q4,,,Number,85
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2021 Q1,,,Number,67
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2021 Q2,,,Number,57
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2021 Q3,,,Number,72
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2016,,,Crude rate,6.7
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2016,,,Number,88
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2016,,,Age-adjusted rate,6.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2017,,,Crude rate,7.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2017,,,Number,106
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2017,,,Age-adjusted rate,8.1
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2018,,,Crude rate,6.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2018,,,Number,93
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2018,,,Age-adjusted rate,7
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2019,,,Crude rate,4.5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2019,,,Number,62
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2019,,,Age-adjusted rate,4.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2020,,,Crude rate,12.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2020,,,Number,178
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2020,,,Age-adjusted rate,13.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2021 (Jan to Sep),,,Crude rate,n/a
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2021 (Jan to Sep),,,Number,n/a
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2021 (Jan to Sep),,,Age-adjusted rate,n/a
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2016 Q1,,,Number,18
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2016 Q2,,,Number,20
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2016 Q3,,,Number,17
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2016 Q4,,,Number,33
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2017 Q1,,,Number,34
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2017 Q2,,,Number,34
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2017 Q3,,,Number,19
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2017 Q4,,,Number,19
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2018 Q1,,,Number,21
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2018 Q2,,,Number,17
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2018 Q3,,,Number,24
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2018 Q4,,,Number,31
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2019 Q1,,,Number,10
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2019 Q2,,,Number,16
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2019 Q3,,,Number,11
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2019 Q4,,,Number,25
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2020 Q1,,,Number,26
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2020 Q2,,,Number,56
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2020 Q3,,,Number,96
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2020 Q4,,,Number,n/a
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2021 Q1,,,Number,n/a
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2021 Q2,,,Number,n/a
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2021 Q3,,,Number,n/a
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2016,,,Crude rate,6.2
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2016,,,Number,867
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2016,,,Age-adjusted rate,6.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2017,,,Crude rate,9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2017,,,Number,1265
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2017,,,Age-adjusted rate,9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2018,,,Crude rate,10.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2018,,,Number,1479
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2018,,,Age-adjusted rate,10.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2019,,,Crude rate,10.5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2019,,,Number,1529
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2019,,,Age-adjusted rate,10.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2020,,,Crude rate,16.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2020,,,Number,2423
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2020,,,Age-adjusted rate,16.5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2021 (Jan to Sep),,,Crude rate,18.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2021 (Jan to Sep),,,Number,2035
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2021 (Jan to Sep),,,Age-adjusted rate,18.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2016 Q1,,,Number,214
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2016 Q2,,,Number,218
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2016 Q3,,,Number,195
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2016 Q4,,,Number,240
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2017 Q1,,,Number,238
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2017 Q2,,,Number,311
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2017 Q3,,,Number,414
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2017 Q4,,,Number,302
