REF_DATE,GEO,DGUID,Measure,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Mar-19,"Weighted average, cities measured",,Benzoylecgonine,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978078,1.4.2,714.39,,,,2
Mar-19,"Weighted average, cities measured",,Benzoylecgonine,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978079,1.4.3,1029.18,,,,2
Mar-19,"Weighted average, cities measured",,Benzoylecgonine,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978080,1.4.4,56.17,,,,2
Mar-19,"Weighted average, cities measured",,Benzoylecgonine,"Imputation rate, load per capita",Percentage,242,units,0,v1277978081,1.4.5,11,,,,0
Mar-19,"Weighted average, cities measured",,Benzoylecgonine,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978082,1.4.6,,F,,,0
Mar-19,"Weighted average, cities measured",,Cocaine,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978083,1.5.1,242.66,,,,2
Mar-19,"Weighted average, cities measured",,Cocaine,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978084,1.5.2,205.06,,,,2
Mar-19,"Weighted average, cities measured",,Cocaine,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978085,1.5.3,280.27,,,,2
Mar-19,"Weighted average, cities measured",,Cocaine,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978086,1.5.4,13.09,,,,2
Mar-19,"Weighted average, cities measured",,Cocaine,"Imputation rate, load per capita",Percentage,242,units,0,v1277978087,1.5.5,11,,,,0
Mar-19,"Weighted average, cities measured",,Cocaine,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978088,1.5.6,,F,,,0
Mar-19,"Weighted average, cities measured",,Ecstasy (MDMA),Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978089,1.6.1,32.56,,,,2
Mar-19,"Weighted average, cities measured",,Ecstasy (MDMA),"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978090,1.6.2,16.97,,,,2
Mar-19,"Weighted average, cities measured",,Ecstasy (MDMA),"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978091,1.6.3,48.16,,,,2
Mar-19,"Weighted average, cities measured",,Ecstasy (MDMA),"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978092,1.6.4,5.91,,,,2
Mar-19,"Weighted average, cities measured",,Ecstasy (MDMA),"Imputation rate, load per capita",Percentage,242,units,0,v1277978093,1.6.5,11,,,,0
Mar-19,"Weighted average, cities measured",,Ecstasy (MDMA),Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978094,1.6.6,,F,,,0
Mar-19,"Weighted average, cities measured",,Morphine,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978095,1.7.1,73.83,,,,2
Mar-19,"Weighted average, cities measured",,Morphine,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978096,1.7.2,65.33,,,,2
Mar-19,"Weighted average, cities measured",,Morphine,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978097,1.7.3,82.34,,,,2
Mar-19,"Weighted average, cities measured",,Morphine,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978098,1.7.4,2.89,,,,2
Mar-19,"Weighted average, cities measured",,Morphine,"Imputation rate, load per capita",Percentage,242,units,0,v1277978099,1.7.5,11,,,,0
Mar-19,"Weighted average, cities measured",,Morphine,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978100,1.7.6,,F,,,0
Mar-19,"Weighted average, cities measured",,Codeine,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978101,1.8.1,237.08,E,,,2
Mar-19,"Weighted average, cities measured",,Codeine,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978102,1.8.2,200.71,E,,,2
Mar-19,"Weighted average, cities measured",,Codeine,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978103,1.8.3,273.44,E,,,2
Mar-19,"Weighted average, cities measured",,Codeine,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978104,1.8.4,9.18,E,,,2
Mar-19,"Weighted average, cities measured",,Codeine,"Imputation rate, load per capita",Percentage,242,units,0,v1277978105,1.8.5,11,,,,0
Mar-19,"Weighted average, cities measured",,Codeine,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978106,1.8.6,,F,,,0
Mar-19,"Weighted average, cities measured",,Methadone,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978107,1.9.1,24.05,,,,2
Mar-19,"Weighted average, cities measured",,Methadone,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978108,1.9.2,22.33,,,,2
Mar-19,"Weighted average, cities measured",,Methadone,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978109,1.9.3,25.77,,,,2
Mar-19,"Weighted average, cities measured",,Methadone,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978110,1.9.4,0.64,,,,2
Mar-19,"Weighted average, cities measured",,Methadone,"Imputation rate, load per capita",Percentage,242,units,0,v1277978111,1.9.5,11,,,,0
Mar-19,"Weighted average, cities measured",,Methadone,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978112,1.9.6,,F,,,0
Mar-19,"Weighted average, cities measured",,Oxycodone,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978113,1.10.1,11.41,E,,,2
Mar-19,"Weighted average, cities measured",,Oxycodone,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978114,1.10.2,9.74,E,,,2
Mar-19,"Weighted average, cities measured",,Oxycodone,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978115,1.10.3,13.08,E,,,2
Mar-19,"Weighted average, cities measured",,Oxycodone,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978116,1.10.4,0.52,E,,,2
Mar-19,"Weighted average, cities measured",,Oxycodone,"Imputation rate, load per capita",Percentage,242,units,0,v1277978117,1.10.5,11,,,,0
Mar-19,"Weighted average, cities measured",,Oxycodone,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978118,1.10.6,,F,,,0
Mar-19,"Weighted average, cities measured",,Fentanyl,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978119,1.11.1,3.44,E,,,2
Mar-19,"Weighted average, cities measured",,Fentanyl,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978120,1.11.2,2.43,E,,,2
Mar-19,"Weighted average, cities measured",,Fentanyl,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978121,1.11.3,4.46,E,,,2
Mar-19,"Weighted average, cities measured",,Fentanyl,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978122,1.11.4,0.19,E,,,2
Mar-19,"Weighted average, cities measured",,Fentanyl,"Imputation rate, load per capita",Percentage,242,units,0,v1277978123,1.11.5,12,,,,0
Mar-19,"Weighted average, cities measured",,Fentanyl,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978124,1.11.6,,F,,,0
Mar-19,"Weighted average, cities measured",,6-monoacetylmorphine (6-MAM),Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978125,1.12.1,0,E,,,2
Mar-19,"Weighted average, cities measured",,6-monoacetylmorphine (6-MAM),"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978126,1.12.2,,F,,,2
Mar-19,"Weighted average, cities measured",,6-monoacetylmorphine (6-MAM),"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978127,1.12.3,,F,,,2
Mar-19,"Weighted average, cities measured",,6-monoacetylmorphine (6-MAM),"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978128,1.12.4,,F,,,2
Mar-19,"Weighted average, cities measured",,6-monoacetylmorphine (6-MAM),"Imputation rate, load per capita",Percentage,242,units,0,v1277978129,1.12.5,11,,,,0
Mar-19,"Weighted average, cities measured",,6-monoacetylmorphine (6-MAM),Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978130,1.12.6,,F,,,0
Mar-19,"Weighted average, cities measured",,Heroin,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978131,1.13.1,0,E,,,2
Mar-19,"Weighted average, cities measured",,Heroin,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978132,1.13.2,,F,,,2
Mar-19,"Weighted average, cities measured",,Heroin,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978133,1.13.3,,F,,,2
Mar-19,"Weighted average, cities measured",,Heroin,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978134,1.13.4,,F,,,2
Mar-19,"Weighted average, cities measured",,Heroin,"Imputation rate, load per capita",Percentage,242,units,0,v1277978135,1.13.5,11,,,,0
Mar-19,"Weighted average, cities measured",,Heroin,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978136,1.13.6,,F,,,0
Mar-19,"Weighted average, cities measured",,Acetylcodeine,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978137,1.14.1,0,E,,,2
Mar-19,"Weighted average, cities measured",,Acetylcodeine,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978138,1.14.2,,F,,,2
Mar-19,"Weighted average, cities measured",,Acetylcodeine,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978139,1.14.3,,F,,,2
Mar-19,"Weighted average, cities measured",,Acetylcodeine,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978140,1.14.4,,F,,,2
Mar-19,"Weighted average, cities measured",,Acetylcodeine,"Imputation rate, load per capita",Percentage,242,units,0,v1277978141,1.14.5,11,,,,0
Mar-19,"Weighted average, cities measured",,Acetylcodeine,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978142,1.14.6,,F,,,0
Mar-19,"Halifax, Nova Scotia",,THC-COOH (Cannabis metabolite),Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978143,2.1.1,657.97,,,,2
Mar-19,"Halifax, Nova Scotia",,THC-COOH (Cannabis metabolite),"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978144,2.1.2,527.55,,,,2
Mar-19,"Halifax, Nova Scotia",,THC-COOH (Cannabis metabolite),"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978145,2.1.3,788.39,,,,2
Mar-19,"Halifax, Nova Scotia",,THC-COOH (Cannabis metabolite),"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978146,2.1.4,53.3,,,,2
Mar-19,"Halifax, Nova Scotia",,THC-COOH (Cannabis metabolite),"Imputation rate, load per capita",Percentage,242,units,0,v1277978147,2.1.5,0,,,,0
Mar-19,"Halifax, Nova Scotia",,THC-COOH (Cannabis metabolite),Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978148,2.1.6,100,,,,0
Mar-19,"Halifax, Nova Scotia",,Methamphetamine,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978149,2.2.1,31.57,,,,2
Mar-19,"Halifax, Nova Scotia",,Methamphetamine,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978150,2.2.2,25,,,,2
Mar-19,"Halifax, Nova Scotia",,Methamphetamine,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978151,2.2.3,38.14,,,,2
Mar-19,"Halifax, Nova Scotia",,Methamphetamine,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978152,2.2.4,2.68,,,,2
Mar-19,"Halifax, Nova Scotia",,Methamphetamine,"Imputation rate, load per capita",Percentage,242,units,0,v1277978153,2.2.5,0,,,,0
Mar-19,"Halifax, Nova Scotia",,Methamphetamine,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978154,2.2.6,100,,,,0
Mar-19,"Halifax, Nova Scotia",,Amphetamine,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978155,2.3.1,86.71,,,,2
Mar-19,"Halifax, Nova Scotia",,Amphetamine,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978156,2.3.2,76.24,,,,2
Mar-19,"Halifax, Nova Scotia",,Amphetamine,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978157,2.3.3,97.19,,,,2
Mar-19,"Halifax, Nova Scotia",,Amphetamine,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978158,2.3.4,4.28,,,,2
Mar-19,"Halifax, Nova Scotia",,Amphetamine,"Imputation rate, load per capita",Percentage,242,units,0,v1277978159,2.3.5,0,,,,0
Mar-19,"Halifax, Nova Scotia",,Amphetamine,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978160,2.3.6,100,,,,0
Mar-19,"Halifax, Nova Scotia",,Benzoylecgonine,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978161,2.4.1,836.76,,,,2
Mar-19,"Halifax, Nova Scotia",,Benzoylecgonine,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978162,2.4.2,687.28,,,,2
Mar-19,"Halifax, Nova Scotia",,Benzoylecgonine,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978163,2.4.3,986.24,,,,2
Mar-19,"Halifax, Nova Scotia",,Benzoylecgonine,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978164,2.4.4,61.09,,,,2
Mar-19,"Halifax, Nova Scotia",,Benzoylecgonine,"Imputation rate, load per capita",Percentage,242,units,0,v1277978165,2.4.5,0,,,,0
Mar-19,"Halifax, Nova Scotia",,Benzoylecgonine,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978166,2.4.6,100,,,,0
Mar-19,"Halifax, Nova Scotia",,Cocaine,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978167,2.5.1,315.08,,,,2
Mar-19,"Halifax, Nova Scotia",,Cocaine,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978168,2.5.2,287.11,,,,2
Mar-19,"Halifax, Nova Scotia",,Cocaine,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978169,2.5.3,343.05,,,,2
Mar-19,"Halifax, Nova Scotia",,Cocaine,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978170,2.5.4,11.43,,,,2
Mar-19,"Halifax, Nova Scotia",,Cocaine,"Imputation rate, load per capita",Percentage,242,units,0,v1277978171,2.5.5,0,,,,0
Mar-19,"Halifax, Nova Scotia",,Cocaine,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978172,2.5.6,100,,,,0
Mar-19,"Halifax, Nova Scotia",,Ecstasy (MDMA),Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978173,2.6.1,37.84,,,,2
Mar-19,"Halifax, Nova Scotia",,Ecstasy (MDMA),"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978174,2.6.2,11.06,,,,2
Mar-19,"Halifax, Nova Scotia",,Ecstasy (MDMA),"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978175,2.6.3,64.62,,,,2
Mar-19,"Halifax, Nova Scotia",,Ecstasy (MDMA),"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978176,2.6.4,10.94,,,,2
Mar-19,"Halifax, Nova Scotia",,Ecstasy (MDMA),"Imputation rate, load per capita",Percentage,242,units,0,v1277978177,2.6.5,0,,,,0
Mar-19,"Halifax, Nova Scotia",,Ecstasy (MDMA),Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978178,2.6.6,100,,,,0
Mar-19,"Halifax, Nova Scotia",,Morphine,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978179,2.7.1,28.78,,,,2
Mar-19,"Halifax, Nova Scotia",,Morphine,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978180,2.7.2,21.28,,,,2
Mar-19,"Halifax, Nova Scotia",,Morphine,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978181,2.7.3,36.29,,,,2
Mar-19,"Halifax, Nova Scotia",,Morphine,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978182,2.7.4,3.07,,,,2
Mar-19,"Halifax, Nova Scotia",,Morphine,"Imputation rate, load per capita",Percentage,242,units,0,v1277978183,2.7.5,0,,,,0
Mar-19,"Halifax, Nova Scotia",,Morphine,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978184,2.7.6,62,,,,0
Mar-19,"Halifax, Nova Scotia",,Codeine,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978185,2.8.1,212.82,,,,2
Mar-19,"Halifax, Nova Scotia",,Codeine,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978186,2.8.2,179.89,,,,2
Mar-19,"Halifax, Nova Scotia",,Codeine,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978187,2.8.3,245.75,,,,2
Mar-19,"Halifax, Nova Scotia",,Codeine,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978188,2.8.4,13.46,,,,2
Mar-19,"Halifax, Nova Scotia",,Codeine,"Imputation rate, load per capita",Percentage,242,units,0,v1277978189,2.8.5,0,,,,0
Mar-19,"Halifax, Nova Scotia",,Codeine,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978190,2.8.6,100,,,,0
Mar-19,"Halifax, Nova Scotia",,Methadone,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978191,2.9.1,35.51,,,,2
Mar-19,"Halifax, Nova Scotia",,Methadone,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978192,2.9.2,31.88,,,,2
Mar-19,"Halifax, Nova Scotia",,Methadone,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978193,2.9.3,39.13,,,,2
Mar-19,"Halifax, Nova Scotia",,Methadone,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978194,2.9.4,1.48,,,,2
Mar-19,"Halifax, Nova Scotia",,Methadone,"Imputation rate, load per capita",Percentage,242,units,0,v1277978195,2.9.5,0,,,,0
Mar-19,"Halifax, Nova Scotia",,Methadone,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978196,2.9.6,100,,,,0
Mar-19,"Halifax, Nova Scotia",,Oxycodone,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978197,2.10.1,5.64,,,,2
Mar-19,"Halifax, Nova Scotia",,Oxycodone,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978198,2.10.2,3.69,,,,2
Mar-19,"Halifax, Nova Scotia",,Oxycodone,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978199,2.10.3,7.6,,,,2
Mar-19,"Halifax, Nova Scotia",,Oxycodone,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978200,2.10.4,0.8,,,,2
Mar-19,"Halifax, Nova Scotia",,Oxycodone,"Imputation rate, load per capita",Percentage,242,units,0,v1277978201,2.10.5,0,,,,0
Mar-19,"Halifax, Nova Scotia",,Oxycodone,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978202,2.10.6,76,,,,0
Mar-19,"Halifax, Nova Scotia",,Fentanyl,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978203,2.11.1,0.64,,,,2
Mar-19,"Halifax, Nova Scotia",,Fentanyl,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978204,2.11.2,0.53,,,,2
Mar-19,"Halifax, Nova Scotia",,Fentanyl,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978205,2.11.3,0.74,,,,2
Mar-19,"Halifax, Nova Scotia",,Fentanyl,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978206,2.11.4,0.04,,,,2
Mar-19,"Halifax, Nova Scotia",,Fentanyl,"Imputation rate, load per capita",Percentage,242,units,0,v1277978207,2.11.5,0,,,,0
Mar-19,"Halifax, Nova Scotia",,Fentanyl,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978208,2.11.6,90,,,,0
Mar-19,"Halifax, Nova Scotia",,6-monoacetylmorphine (6-MAM),Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978209,2.12.1,0,E,,,2
Mar-19,"Halifax, Nova Scotia",,6-monoacetylmorphine (6-MAM),"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978210,2.12.2,,F,,,2
Mar-19,"Halifax, Nova Scotia",,6-monoacetylmorphine (6-MAM),"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978211,2.12.3,,F,,,2
Mar-19,"Halifax, Nova Scotia",,6-monoacetylmorphine (6-MAM),"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978212,2.12.4,,F,,,2
Mar-19,"Halifax, Nova Scotia",,6-monoacetylmorphine (6-MAM),"Imputation rate, load per capita",Percentage,242,units,0,v1277978213,2.12.5,0,,,,0
Mar-19,"Halifax, Nova Scotia",,6-monoacetylmorphine (6-MAM),Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978214,2.12.6,0,,,,0
Mar-19,"Halifax, Nova Scotia",,Heroin,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978215,2.13.1,0,E,,,2
Mar-19,"Halifax, Nova Scotia",,Heroin,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978216,2.13.2,,F,,,2
Mar-19,"Halifax, Nova Scotia",,Heroin,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978217,2.13.3,,F,,,2
Mar-19,"Halifax, Nova Scotia",,Heroin,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978218,2.13.4,,F,,,2
Mar-19,"Halifax, Nova Scotia",,Heroin,"Imputation rate, load per capita",Percentage,242,units,0,v1277978219,2.13.5,0,,,,0
Mar-19,"Halifax, Nova Scotia",,Heroin,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978220,2.13.6,0,,,,0
Mar-19,"Halifax, Nova Scotia",,Acetylcodeine,Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978221,2.14.1,0,E,,,2
Mar-19,"Halifax, Nova Scotia",,Acetylcodeine,"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978222,2.14.2,,F,,,2
Mar-19,"Halifax, Nova Scotia",,Acetylcodeine,"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978223,2.14.3,,F,,,2
Mar-19,"Halifax, Nova Scotia",,Acetylcodeine,"Standard error, load per capita",Grams per one million people per day,411,units,0,v1277978224,2.14.4,,F,,,2
Mar-19,"Halifax, Nova Scotia",,Acetylcodeine,"Imputation rate, load per capita",Percentage,242,units,0,v1277978225,2.14.5,0,,,,0
Mar-19,"Halifax, Nova Scotia",,Acetylcodeine,Detection Rate (percentage of samples with positive detection),Percentage,242,units,0,v1277978226,2.14.6,0,,,,0
Mar-19,"Montreal, Quebec",,THC-COOH (Cannabis metabolite),Load per capita (grams per one million people per day),Grams per one million people per day,411,units,0,v1277978227,3.1.1,220.08,,,,2
Mar-19,"Montreal, Quebec",,THC-COOH (Cannabis metabolite),"Lower bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978228,3.1.2,162.22,,,,2
Mar-19,"Montreal, Quebec",,THC-COOH (Cannabis metabolite),"Upper bound of the 95% confidence interval, load per capita",Grams per one million people per day,411,units,0,v1277978229,3.1.3,277.95,,,,2
